"ZOO-EVB-EVO-025","Zoology","Evolutionary Biology","Oparin-Haldane theory","Which condition was essential for chemical evolution?","Presence of abundant free oxygen","Reducing atmosphere","Cold dry Earth","Absence of water","B","Reducing atmosphere allowed organic molecule formation."
"ZOO-EVB-EVO-026","Zoology","Evolutionary Biology","Oparin-Haldane theory","The primitive atmosphere according to Oparin-Haldane theory contained","CH4, NH3, H2 and water vapour","O2, O3 and N2 only","CO2 and O2 only","Helium and ozone only","A","Methane, ammonia, hydrogen and water vapour were key gases."
"ZOO-EVB-EVO-027","Zoology","Evolutionary Biology","Oparin-Haldane theory","The first organic compounds formed during chemical evolution were likely","Amino acids and sugars","DNA and chromosomes","Bones and muscles","Flowers and seeds","A","Simple organic molecules formed before complex polymers."
"ZOO-EVB-EVO-028","Zoology","Evolutionary Biology","Oparin-Haldane theory","Polymerization of amino acids produced","Proteins","Lipids","Nucleotides","Minerals","A","Amino acids join to form proteins."
"ZOO-EVB-EVO-029","Zoology","Evolutionary Biology","Oparin-Haldane theory","Coacervates described by Oparin were important because they","Had definite nucleus","Showed cell-like organization","Were true bacteria","Contained bones","B","Coacervates were non-living aggregates with cell-like features."
"ZOO-EVB-EVO-030","Zoology","Evolutionary Biology","Oparin-Haldane theory","Which statement supports Oparin-Haldane theory?","Life originated by special creation","Organic molecules arose gradually before cells","Species are fixed forever","Life came only from other planets","B","The theory emphasizes gradual chemical evolution."
"ZOO-EVB-EVO-031","Zoology","Evolutionary Biology","Oparin-Haldane theory","A reducing atmosphere favors origin of life because it","Destroys organic molecules","Prevents formation of water","Allows synthesis of organic compounds","Stops energy flow","C","Reducing gases support formation of simple organics."
"ZOO-EVB-EVO-032","Zoology","Evolutionary Biology","Oparin-Haldane theory","The main limitation of Oparin-Haldane theory is that it","Explains no chemical steps","Could not directly prove formation of first living cell","Rejects chemical evolution","Denies primitive ocean","B","It explains possible steps but not direct creation of first cell."
"ZOO-EVB-EVO-033","Zoology","Evolutionary Biology","Oparin-Haldane theory","Which pair is correctly matched?","Oparin-Darwinism","Haldane-hot dilute soup","Lamarck-natural selection","Miller-inheritance of acquired characters","B","Haldane used the phrase hot dilute soup."
"ZOO-EVB-EVO-034","Zoology","Evolutionary Biology","Oparin-Haldane theory","Chemical evolution occurred before","Formation of organic molecules","Biological evolution","Formation of inorganic molecules","Cooling of Earth","B","Biological evolution began after first living cells appeared."
"ZOO-EVB-EVO-035","Zoology","Evolutionary Biology","Oparin-Haldane theory","The first life forms according to Oparin-Haldane theory were","Complex multicellular animals","Simple heterotrophic cells","Flowering plants","Birds","B","First cells depended on preformed organic food."
"ZOO-EVB-EVO-036","Zoology","Evolutionary Biology","Oparin-Haldane theory","In Oparin-Haldane theory, energy for organic synthesis was supplied by","Lightning and UV rays","Muscle contraction","Photosynthesis only","Nuclear membrane","A","Lightning and UV radiation drove chemical reactions."
"ZOO-EVB-EVO-037","Zoology","Evolutionary Biology","Oparin-Haldane theory","The term chemical evolution refers to","Evolution of species by natural selection","Formation of complex organic molecules from simpler substances","Development of embryo","Change in population gene frequency only","B","Chemical evolution means prebiotic synthesis of organic molecules."
"ZOO-EVB-EVO-038","Zoology","Evolutionary Biology","Oparin-Haldane theory","Which is not a step in Oparin-Haldane concept?","Formation of simple organic molecules","Formation of polymers","Formation of protocells","Sudden formation of modern humans","D","Modern humans evolved much later by biological evolution."
"ZOO-EVB-EVO-039","Zoology","Evolutionary Biology","Oparin-Haldane theory","Primitive oceans were suitable for origin of life because they","Provided medium for reactions","Had no molecules","Were filled with oxygen","Contained modern fishes","A","Water medium allowed organic reactions and accumulation."
"ZOO-EVB-EVO-040","Zoology","Evolutionary Biology","Oparin-Haldane theory","Which theory is experimentally supported by Miller-Urey experiment?","Chemical evolution theory","Special creation theory","Lamarckism","Catastrophism","A","Miller-Urey experiment supported chemical evolution."
"ZOO-EVB-EVO-041","Zoology","Evolutionary Biology","Miller-Urey experiment","Miller-Urey experiment was performed in","1923","1936","1953","1975","C","Miller and Urey conducted the experiment in 1953."
"ZOO-EVB-EVO-042","Zoology","Evolutionary Biology","Miller-Urey experiment","Miller-Urey experiment tested the hypothesis of","Chemical origin of life","Inheritance of acquired characters","Natural selection in finches","Continental drift","A","It tested formation of organic molecules under primitive conditions."
"ZOO-EVB-EVO-043","Zoology","Evolutionary Biology","Miller-Urey experiment","Which gases were used in Miller-Urey experiment?","CH4, NH3, H2 and water vapour","O2, O3, CO2 and N2","Only oxygen and nitrogen","Only carbon dioxide and water","A","They simulated a reducing primitive atmosphere."
"ZOO-EVB-EVO-044","Zoology","Evolutionary Biology","Miller-Urey experiment","Electric sparks in Miller-Urey experiment represented","Solar heat","Lightning","Photosynthesis","Volcanic ash","B","Electric sparks simulated lightning."
"ZOO-EVB-EVO-045","Zoology","Evolutionary Biology","Miller-Urey experiment","The main product obtained in Miller-Urey experiment was","Amino acids","Living bacteria","DNA double helix","Chlorophyll","A","Amino acids were formed in the apparatus."
"ZOO-EVB-EVO-046","Zoology","Evolutionary Biology","Miller-Urey experiment","Which amino acid was formed in Miller-Urey experiment?","Glycine","Keratin","Cellulose","Insulin","A","Glycine was among the amino acids detected."
"ZOO-EVB-EVO-047","Zoology","Evolutionary Biology","Miller-Urey experiment","The condenser in Miller-Urey apparatus helped to","Produce oxygen","Cool vapours into liquid","Generate fossils","Destroy amino acids","B","Condenser cooled vapour and returned liquid to the flask."
"ZOO-EVB-EVO-048","Zoology","Evolutionary Biology","Miller-Urey experiment","Boiling water in the Miller-Urey apparatus represented","Primitive ocean","Modern river","Blood plasma","Lava only","A","The water flask simulated primitive ocean."
"ZOO-EVB-EVO-049","Zoology","Evolutionary Biology","Miller-Urey experiment","The experiment of Miller and Urey provided evidence for","Abiotic synthesis of organic molecules","Direct evolution of humans","Formation of fossils","Inheritance of acquired characters","A","It showed organic molecules can form without living cells."
"ZOO-EVB-EVO-050","Zoology","Evolutionary Biology","Miller-Urey experiment","Which condition was deliberately avoided in Miller-Urey experiment?","Water vapour","Methane","Free oxygen","Electric discharge","C","Free oxygen would oxidize and destroy organic compounds."
"ZOO-EVB-EVO-051","Zoology","Evolutionary Biology","Miller-Urey experiment","Miller-Urey experiment supports which stage of origin of life?","Formation of first animals","Formation of simple organic compounds","Formation of human brain","Formation of flowering plants","B","It supports prebiotic synthesis of simple organic molecules."
"ZOO-EVB-EVO-052","Zoology","Evolutionary Biology","Miller-Urey experiment","The trap in Miller-Urey apparatus was used to collect","Amino acid-containing products","Ozone","Living organisms","Fossils","A","Products dissolved in water were collected in the trap."
"ZOO-EVB-EVO-053","Zoology","Evolutionary Biology","Miller-Urey experiment","Which of the following was not used as a gas in Miller-Urey experiment?","Methane","Ammonia","Hydrogen","Oxygen","D","Oxygen was not used because primitive atmosphere was reducing."
"ZOO-EVB-EVO-054","Zoology","Evolutionary Biology","Miller-Urey experiment","The Miller-Urey experiment is important because it","Created a complete living cell","Proved biochemical evolution possible","Proved Lamarckism","Produced modern humans","B","It demonstrated possible abiotic formation of biomolecules."
"ZOO-EVB-EVO-055","Zoology","Evolutionary Biology","Miller-Urey experiment","If oxygen is added to Miller-Urey setup, organic synthesis would likely","Increase greatly","Be inhibited","Produce mammals","Create fossils","B","Oxygen oxidizes and breaks down newly formed organic molecules."
"ZOO-EVB-EVO-056","Zoology","Evolutionary Biology","Miller-Urey experiment","The atmosphere simulated in Miller-Urey experiment was","Reducing","Oxidizing","Ozone-rich","Modern atmosphere","A","It used reducing gases like methane and ammonia."
"ZOO-EVB-EVO-057","Zoology","Evolutionary Biology","Miller-Urey experiment","Stanley Miller worked with","Harold Urey","Charles Darwin","Louis Pasteur","Gregor Mendel","A","Stanley Miller and Harold Urey performed the experiment."
"ZOO-EVB-EVO-058","Zoology","Evolutionary Biology","Miller-Urey experiment","Which conclusion is most accurate from Miller-Urey experiment?","Life was created in the laboratory","Organic molecules can form under primitive Earth-like conditions","Humans evolved from bacteria directly","DNA was the first molecule formed","B","The experiment showed abiotic synthesis of organic molecules."
"ZOO-EVB-EVO-059","Zoology","Evolutionary Biology","Miller-Urey experiment","The experiment mainly supports","Biological evolution","Chemical evolution","Embryological evidence","Paleontology","B","It is evidence for chemical evolution before life."
"ZOO-EVB-EVO-060","Zoology","Evolutionary Biology","Miller-Urey experiment","In Miller-Urey experiment, water vapour supplied","Oxygen gas","Hydrogen and oxygen atoms for reactions","Living cells","Fossils","B","Water vapour participated in chemical reactions."
"ZOO-EVB-EVO-061","Zoology","Evolutionary Biology","Morphological evidence","Morphological evidence of evolution is based on comparison of","External features","Chemical bonds only","DNA code only","Fossil age only","A","Morphology deals with external structure."
"ZOO-EVB-EVO-062","Zoology","Evolutionary Biology","Morphological evidence","Which is an example of morphological evidence?","Similar body shape in different species","Radioactive dating","Amino acid sequencing only","Embryo cleavage","A","External similarities and differences provide morphological evidence."
"ZOO-EVB-EVO-063","Zoology","Evolutionary Biology","Morphological evidence","The streamlined body of fish and whale is an example of","Divergent evolution","Convergent evolution","Artificial selection","Genetic drift only","B","Similar body form evolved due to similar aquatic habitat."
"ZOO-EVB-EVO-064","Zoology","Evolutionary Biology","Morphological evidence","Wings of butterfly and bird are similar in function but different in origin; they are","Homologous organs","Analogous organs","Vestigial organs","Embryonic organs","B","Analogous organs have similar function but different origin."
"ZOO-EVB-EVO-065","Zoology","Evolutionary Biology","Morphological evidence","Similarity in external form due to adaptation to similar environment is called","Convergent evolution","Divergent evolution","Mutation","Isolation","A","Convergence produces similar morphology in unrelated organisms."
"ZOO-EVB-EVO-066","Zoology","Evolutionary Biology","Morphological evidence","Which pair best shows convergent evolution?","Human arm and whale flipper","Bat wing and human arm","Whale and shark body shape","Forelimb of horse and human arm","C","Whale and shark have similar streamlined bodies due to aquatic life."
"ZOO-EVB-EVO-067","Zoology","Evolutionary Biology","Morphological evidence","Protective resemblance in organisms is called","Mimicry","Mutation","Hybridization","Speciation","A","Mimicry is resemblance that helps protection or survival."
"ZOO-EVB-EVO-068","Zoology","Evolutionary Biology","Morphological evidence","The resemblance of leaf insect to a leaf is an example of","Embryological evidence","Mimicry","Paleontology","Biochemical evidence","B","Leaf insect shows protective mimicry."
"ZOO-EVB-EVO-069","Zoology","Evolutionary Biology","Morphological evidence","Morphological similarities are most reliable when supported by","A single external feature only","Anatomical, fossil and molecular data","Only body colour","Only body size","B","Multiple lines of evidence make evolutionary inference stronger."
"ZOO-EVB-EVO-070","Zoology","Evolutionary Biology","Morphological evidence","Which feature is least useful alone for evolutionary relationship?","Body colour","Bone structure","Developmental pattern","DNA similarity","A","Colour may change due to environment and is less reliable alone."
"ZOO-EVB-EVO-071","Zoology","Evolutionary Biology","Anatomical evidence","Anatomical evidence is based on comparison of","Internal structures","Only behaviour","Only fossil age","Only habitat","A","Anatomy deals with internal structure."
"ZOO-EVB-EVO-072","Zoology","Evolutionary Biology","Anatomical evidence","Organs with common origin but different functions are called","Analogous organs","Homologous organs","Vestigial organs","Artificial organs","B","Homologous organs share origin but may differ in function."
"ZOO-EVB-EVO-073","Zoology","Evolutionary Biology","Anatomical evidence","Forelimbs of man, horse, bat and whale are examples of","Analogous organs","Homologous organs","Vestigial organs","Adaptive organs only","B","They have same basic bone plan but different functions."
"ZOO-EVB-EVO-074","Zoology","Evolutionary Biology","Anatomical evidence","Homologous organs provide evidence for","Common ancestry","Special creation only","Spontaneous generation","No evolution","A","Homology indicates descent from a common ancestor."
"ZOO-EVB-EVO-075","Zoology","Evolutionary Biology","Anatomical evidence","The type of evolution shown by homologous organs is","Convergent evolution","Divergent evolution","Parallel extinction","Chemical evolution","B","Homologous organs diverge for different functions."
"ZOO-EVB-EVO-076","Zoology","Evolutionary Biology","Anatomical evidence","Analogous organs show","Common ancestry only","Convergent evolution","Divergent evolution","Embryonic recapitulation","B","Analogous organs arise due to similar adaptation."
"ZOO-EVB-EVO-077","Zoology","Evolutionary Biology","Anatomical evidence","Which pair is homologous?","Wing of bird and wing of insect","Human arm and whale flipper","Eye of octopus and eye of mammal","Potato and sweet potato","B","Human arm and whale flipper share same basic forelimb plan."
"ZOO-EVB-EVO-078","Zoology","Evolutionary Biology","Anatomical evidence","Which pair is analogous?","Human arm and bat wing","Whale flipper and horse forelimb","Bird wing and insect wing","Seal flipper and human arm","C","Bird and insect wings perform flight but have different origin."
"ZOO-EVB-EVO-079","Zoology","Evolutionary Biology","Anatomical evidence","Vestigial organs are","Fully functional organs","Reduced organs with little or no function","Newly evolved organs","Organs present only in embryos","B","Vestigial organs are remnants of functional ancestral organs."
"ZOO-EVB-EVO-080","Zoology","Evolutionary Biology","Anatomical evidence","Which is a vestigial organ in humans?","Vermiform appendix","Heart","Kidney","Liver","A","Human appendix is a vestigial structure."
"ZOO-EVB-EVO-081","Zoology","Evolutionary Biology","Anatomical evidence","Coccyx in humans represents vestige of","Fin","Tail","Wing","Horn","B","Coccyx is a remnant of ancestral tail."
"ZOO-EVB-EVO-082","Zoology","Evolutionary Biology","Anatomical evidence","Wisdom teeth in humans are considered","Analogous organs","Vestigial organs","Embryonic organs","Artificial organs","B","Wisdom teeth have reduced importance in modern humans."
"ZOO-EVB-EVO-083","Zoology","Evolutionary Biology","Anatomical evidence","The nictitating membrane in human eye is","Highly developed eyelid","Vestigial structure","Digestive gland","Auditory organ","B","It is a reduced remnant of third eyelid."
"ZOO-EVB-EVO-084","Zoology","Evolutionary Biology","Anatomical evidence","Homology in forelimbs is shown by similarity in","Bone arrangement","Body colour","Habitat","Food habit","A","Similar humerus, radius, ulna and digits show homology."
"ZOO-EVB-EVO-085","Zoology","Evolutionary Biology","Anatomical evidence","Which statement about analogous organs is correct?","They always have same origin","They have similar function but different origin","They prove close ancestry","They are non-functional","B","Analogous organs are functionally similar but structurally different."
"ZOO-EVB-EVO-086","Zoology","Evolutionary Biology","Anatomical evidence","Reduced hind limb bones in whales are examples of","Vestigial organs","Analogous organs","Embryonic organs","Active locomotory organs","A","They are remnants of ancestral hind limbs."
"ZOO-EVB-EVO-087","Zoology","Evolutionary Biology","Anatomical evidence","The presence of vestigial organs supports evolution because they","Show organisms were created separately","Indicate descent from ancestors where organs were functional","Prove absence of mutation","Show no relation among organisms","B","Vestiges are inherited remnants of ancestral structures."
"ZOO-EVB-EVO-088","Zoology","Evolutionary Biology","Anatomical evidence","Which of the following is not homologous to human arm?","Bat wing","Whale flipper","Horse forelimb","Butterfly wing","D","Butterfly wing has different origin and structure."
"ZOO-EVB-EVO-089","Zoology","Evolutionary Biology","Anatomical evidence","The pentadactyl limb pattern is seen in","Vertebrate forelimbs","Insect wings only","Bacterial flagella","Fungal hyphae","A","Five-digit limb plan is common in many vertebrates."
"ZOO-EVB-EVO-090","Zoology","Evolutionary Biology","Anatomical evidence","If two organs have same origin but different functions, they indicate","Adaptive radiation","Convergent evolution only","Spontaneous generation","No relationship","A","Same origin with different functions is due to divergent evolution/adaptive radiation."
"ZOO-EVB-EVO-091","Zoology","Evolutionary Biology","Paleontological evidence","Paleontology is the study of","Embryos","Fossils","Genes only","Behaviour","B","Paleontology studies fossils."
"ZOO-EVB-EVO-092","Zoology","Evolutionary Biology","Paleontological evidence","Fossils are usually found in","Igneous rocks","Sedimentary rocks","Metamorphic rocks","Volcanic lava only","B","Sedimentary rocks preserve remains and impressions."
"ZOO-EVB-EVO-093","Zoology","Evolutionary Biology","Paleontological evidence","The best evidence of extinct organisms is provided by","Fossils","Blood groups","Living cells only","Reflex action","A","Fossils are preserved remains of past organisms."
"ZOO-EVB-EVO-094","Zoology","Evolutionary Biology","Paleontological evidence","The age of fossils can be estimated by","Radioactive dating","Blood pressure measurement","Microscopy only","Hybridization only","A","Radioactive dating estimates fossil age."
"ZOO-EVB-EVO-095","Zoology","Evolutionary Biology","Paleontological evidence","Carbon-14 dating is useful mainly for","Very recent organic fossils","Age of Earth core","Living bacteria only","Modern rainfall","A","C-14 is used for relatively recent organic remains."
"ZOO-EVB-EVO-096","Zoology","Evolutionary Biology","Paleontological evidence","A connecting link is an organism that","Shows characters of two groups","Has no fossil record","Lives only in water","Has no evolution","A","Connecting links show transitional characters."
"ZOO-EVB-EVO-097","Zoology","Evolutionary Biology","Paleontological evidence","Archaeopteryx is a connecting link between","Fishes and amphibians","Reptiles and birds","Birds and mammals","Amphibians and reptiles","B","Archaeopteryx had reptilian and avian characters."
"ZOO-EVB-EVO-098","Zoology","Evolutionary Biology","Paleontological evidence","Which feature of Archaeopteryx is reptilian?","Feathers","Wings","Teeth in jaws","Flight feathers","C","Teeth and long bony tail are reptilian characters."
"ZOO-EVB-EVO-099","Zoology","Evolutionary Biology","Paleontological evidence","Which feature of Archaeopteryx is bird-like?","Feathers","Teeth","Long bony tail","Clawed fingers only","A","Feathers are avian characters."
"ZOO-EVB-EVO-100","Zoology","Evolutionary Biology","Paleontological evidence","The fossil record shows that evolution is generally","Sudden and unrelated","Gradual change over time","Independent of environment","Impossible to trace","B","Fossils show sequence of forms through geological time."
"ZOO-EVB-EVO-101","Zoology","Evolutionary Biology","Paleontological evidence","Which fossil group is often used to show evolution of horse?","Equus series","Archaeopteryx series","Homo sapiens series only","Amoeba series","A","Horse evolution is represented by fossils from Eohippus to Equus."
"ZOO-EVB-EVO-102","Zoology","Evolutionary Biology","Paleontological evidence","The earliest known horse ancestor is commonly called","Eohippus","Equus","Merychippus","Pliohippus","A","Eohippus is the early horse form."
"ZOO-EVB-EVO-103","Zoology","Evolutionary Biology","Paleontological evidence","Modern horse belongs to genus","Eohippus","Mesohippus","Equus","Merychippus","C","Modern horses belong to genus Equus."
"ZOO-EVB-EVO-104","Zoology","Evolutionary Biology","Paleontological evidence","During horse evolution, the number of functional toes generally","Increased","Decreased","Remained five","Became wings","B","Horse evolution shows reduction of toes."
"ZOO-EVB-EVO-105","Zoology","Evolutionary Biology","Paleontological evidence","During horse evolution, body size generally","Decreased","Increased","Became microscopic","Remained unchanged","B","Horse fossils show increase in body size."
"ZOO-EVB-EVO-106","Zoology","Evolutionary Biology","Paleontological evidence","A missing link refers to","An organism showing transitional features","A modern human only","A living plant only","A non-living rock","A","Missing links connect major evolutionary groups."
"ZOO-EVB-EVO-107","Zoology","Evolutionary Biology","Paleontological evidence","Which is a living connecting link?","Peripatus","Equus","Amoeba","Mango","A","Peripatus shows annelid and arthropod characters."
"ZOO-EVB-EVO-108","Zoology","Evolutionary Biology","Paleontological evidence","Peripatus connects","Annelida and Arthropoda","Fishes and Amphibia","Reptiles and Birds","Birds and Mammals","A","Peripatus has characters of annelids and arthropods."
"ZOO-EVB-EVO-109","Zoology","Evolutionary Biology","Paleontological evidence","Which is the correct order in horse evolution?","Equus → Eohippus → Mesohippus","Eohippus → Mesohippus → Merychippus → Equus","Merychippus → Eohippus → Equus","Pliohippus → Mesohippus → Eohippus","B","Horse evolution proceeds from Eohippus to modern Equus."
"ZOO-EVB-EVO-110","Zoology","Evolutionary Biology","Paleontological evidence","Fossils provide direct evidence of evolution because they","Show organisms of the past","Only show living organisms","Are always artificial","Do not show age","A","Fossils are direct records of past life."
"ZOO-EVB-EVO-111","Zoology","Evolutionary Biology","Embryological evidence","Embryology provides evidence of evolution by comparing","Early developmental stages","Only adult body size","Only fossils","Only blood groups","A","Embryology studies development of embryos."
"ZOO-EVB-EVO-112","Zoology","Evolutionary Biology","Embryological evidence","The early embryos of vertebrates are similar, indicating","Common ancestry","No evolution","Special creation only","Absence of genes","A","Similar embryonic stages suggest common ancestry."
"ZOO-EVB-EVO-113","Zoology","Evolutionary Biology","Embryological evidence","The biogenetic law was proposed by","Haeckel","Darwin","Miller","Pasteur","A","Ernst Haeckel proposed the biogenetic law."
"ZOO-EVB-EVO-114","Zoology","Evolutionary Biology","Embryological evidence","Biogenetic law is commonly stated as","Ontogeny recapitulates phylogeny","Survival of the fittest","Use and disuse","Life comes from life","A","It states individual development repeats evolutionary history in brief."
"ZOO-EVB-EVO-115","Zoology","Evolutionary Biology","Embryological evidence","Ontogeny means","Development of an individual","Evolutionary history of a species","Study of fossils","Origin of Earth","A","Ontogeny is development from zygote to adult."
"ZOO-EVB-EVO-116","Zoology","Evolutionary Biology","Embryological evidence","Phylogeny means","Development of individual","Evolutionary history of a group","Formation of gametes","Body metabolism","B","Phylogeny means evolutionary history."
"ZOO-EVB-EVO-117","Zoology","Evolutionary Biology","Embryological evidence","Pharyngeal gill slits in vertebrate embryos indicate","Common ancestry","Adult fish stage in humans","No relation among vertebrates","Mutation only","A","Gill slits in embryos suggest shared vertebrate ancestry."
"ZOO-EVB-EVO-118","Zoology","Evolutionary Biology","Embryological evidence","The presence of a tail in human embryo is an example of","Embryological evidence","Chemical evolution","Paleontological dating","Artificial selection","A","Human embryo tail suggests ancestral relationship."
"ZOO-EVB-EVO-119","Zoology","Evolutionary Biology","Embryological evidence","Which embryos show strong similarity in early stages?","Fish, frog, chick and human","Only insects and plants","Only bacteria","Only fungi","A","Early vertebrate embryos show common features."
"ZOO-EVB-EVO-120","Zoology","Evolutionary Biology","Embryological evidence","Embryological evidence is strongest when it shows","Similar early stages among related groups","Different body colours","Similar food habits only","Identical adult size","A","Early developmental similarities indicate common ancestry."
"ZOO-EVB-EVO-121","Zoology","Evolutionary Biology","Embryological evidence","The study of embryonic development is called","Embryology","Paleontology","Anatomy","Taxonomy","A","Embryology studies embryos and development."
"ZOO-EVB-EVO-122","Zoology","Evolutionary Biology","Embryological evidence","Which structure appears temporarily in human embryo?","Tail","Leaf","Shell","Antenna","A","A temporary tail appears during human embryonic development."
"ZOO-EVB-EVO-123","Zoology","Evolutionary Biology","Embryological evidence","According to embryological evidence, related organisms have","Similar early embryos","Completely unrelated embryos","No embryonic stage","Only identical adults","A","Related organisms share early developmental patterns."
"ZOO-EVB-EVO-124","Zoology","Evolutionary Biology","Embryological evidence","The biogenetic law is now considered","An approximate idea, not strictly literal","Completely false for all animals","A law of inheritance only","A chemical theory","A","Embryos do not exactly repeat adult ancestors but show evolutionary clues."
"ZOO-EVB-EVO-125","Zoology","Evolutionary Biology","Embryological evidence","A human embryo showing gill slits is evidence that humans","Are adult fishes","Share ancestry with other vertebrates","Do not evolve","Are reptiles","B","Gill slits indicate common vertebrate ancestry."
"ZOO-EVB-EVO-126","Zoology","Evolutionary Biology","Biochemical evidence","Biochemical evidence of evolution is based on comparison of","DNA, proteins and enzymes","Only body size","Only fossils","Only bones","A","Biochemical evidence compares molecules of organisms."
"ZOO-EVB-EVO-127","Zoology","Evolutionary Biology","Biochemical evidence","The universal genetic code supports","Common ancestry","Special creation only","No relationship among organisms","Spontaneous generation","A","Nearly universal genetic code indicates shared origin."
